,filename,Rating_Valence,Rating_Arousal,F0,F1-Mean,F2-Mean,F3-Mean,F1 - Bandwidth,F2 - Bandwidth,F3 - Bandwidth+,Intensity,Intensity - SD,Spectral Centroid,Spectral Centroid - SD
859,113,2.4,2.94117647,83.3445334,985.31,1739.78,2638.5,399.75,306.6,363.89,70.44,13.43,484.682251,597.767235
860,573,3.27272727,2.5625,80.0710712,888.67,1738.36,2714.89,374.16,468.49,321.78,70.61,11.45,903.745731,2317.78467
861,764,2.26666667,2.47058824,93.1416608,890.13,1976.4,2934.1,244.14,343.62,348.06,70.39,15.74,295.226103,378.785891
862,651,2.11111111,3.9375,77.0849669,960.29,1914.71,2697.4,356.27,423.48,383.12,70.38,10.8,1345.25087,1973.50118
863,520,3.22222222,2.23076923,79.1553321,617.6,1865.55,2630.8,145.54,416.06,559.58,70.39,8.64,399.735304,434.176064
864,24,2.57142857,3.77777778,86.0352575,993.18,2134.25,2873.84,394.45,424.39,366.71,70.34,12.7,1022.22477,1649.03724
865,777,1.73333333,3.1875,79.4781324,873.2,1812.23,2848.47,346.74,436.56,547.91,70.47,12.53,433.127552,692.97153
866,945,2.76470588,3.16666667,79.0699036,1006.27,1985.64,3053.69,369.08,654.59,378.89,70.55,13.36,897.565671,1656.26633
867,1057,2.93333333,3.5,99.3822883,760.48,1642.17,2804.87,449.41,209.36,367.31,70.53,13.32,616.846939,1382.89776
868,379,2.27777778,3.75,86.6730976,949.86,1959.78,2720.86,450.83,680.39,570.17,70.36,11.4,696.619028,1685.97653
869,1041,3.21428571,3.22222222,82.5678814,758.76,1719.54,2750.17,265.51,305.91,312.92,70.41,10.5,1050.47054,2271.54604
870,237,2.85714286,2.05555556,79.5309393,713.51,1672.5,2892.55,287.0,521.01,472.53,70.67,13.66,403.742607,282.939106
871,151,2.5,3.52941176,80.8206583,1003.17,1973.86,2721.64,357.46,372.61,372.17,70.38,10.76,464.949493,704.096842
872,912,2.5,3.22222222,85.6082854,831.46,1898.87,2943.62,300.59,516.7,373.97,70.33,12.57,854.744356,1968.04734
873,241,2.72222222,3.94117647,83.8569862,939.76,1807.57,2953.67,497.01,579.75,462.42,70.38,12.68,629.304982,1643.67043
874,172,2.6,2.5625,77.0987903,921.56,1629.67,2886.45,308.6,584.07,403.44,70.62,10.33,787.096406,1510.12083
875,244,3.07692308,2.0,85.5392492,870.75,2014.17,3183.2,332.06,316.05,193.08,70.51,12.74,470.461856,1023.27248
876,117,2.72222222,2.69230769,83.9294885,1132.54,2478.55,3163.72,430.05,382.91,280.45,70.5,12.46,1925.83382,2680.67108
877,771,3.3125,3.5,81.9311831,1218.8,2134.99,2957.25,333.71,597.8,493.58,70.51,12.76,2151.26728,2619.91193
878,283,2.94444444,2.64705882,86.4957158,733.61,1716.47,2714.3,306.45,692.62,488.9,70.41,7.17,501.586653,1254.36011
879,769,2.77777778,2.91666667,79.1289791,1126.79,2063.2,2966.76,308.05,401.33,414.06,70.53,12.86,681.994527,1137.75531
880,300,2.07142857,3.72222222,86.0774805,752.72,2077.82,2827.08,304.46,502.09,470.69,70.28,13.8,703.730982,1702.79144
881,624,2.41666667,2.42857143,81.2342202,651.95,1883.32,2704.2,215.55,478.57,306.51,70.5,9.68,205.406397,342.699252
882,1102,2.72222222,3.61538462,106.925189,824.23,2095.6,2733.89,342.31,463.92,485.86,70.44,12.88,2153.32734,3357.28595
883,37,2.47058824,3.63636364,81.0773772,994.35,1869.44,2749.94,264.63,327.94,244.73,70.42,13.25,701.854737,926.914312
884,569,2.85714286,2.66666667,90.517455,1095.1,2295.61,2913.3,508.22,481.99,444.8,70.47,11.99,714.403031,1477.80275
885,846,2.61111111,3.64705882,95.7560393,1116.33,2176.61,2771.66,390.78,694.79,495.25,70.57,11.82,1165.046,2186.86157
886,694,2.41666667,3.23529412,85.9817712,1160.1,2129.48,2968.44,266.49,343.24,509.11,70.52,11.81,876.093153,1332.73145
887,191,2.75,2.41176471,78.7708367,974.22,1884.44,3001.18,326.22,682.81,607.3,70.53,9.58,1089.87012,2361.33567
888,269,2.33333333,3.30769231,89.4438012,912.53,1937.03,2797.55,376.75,347.83,770.12,70.49,10.66,290.521454,490.913321
889,441,3.33333333,2.0,80.9751848,461.05,1815.56,2864.4,105.44,355.29,302.16,70.55,10.29,253.184889,295.008138
890,678,2.5,3.84615385,82.3701495,1168.91,2162.71,2893.02,374.76,565.0,470.23,70.31,15.93,1039.85387,1652.87644
891,389,2.55555556,3.23529412,81.2320982,811.44,1570.45,2838.15,265.92,386.67,260.58,70.33,10.37,548.909637,719.315375
892,874,2.66666667,2.61538462,83.7371833,575.67,1489.96,2750.71,258.55,322.19,223.1,70.33,6.71,295.472188,338.083635
893,1118,2.88888889,3.61538462,91.0743266,1175.05,2250.61,2883.57,327.15,529.89,557.39,70.57,10.17,1468.74418,2972.8977
894,564,2.94444444,2.92307692,85.8980256,886.65,1912.5,2784.29,362.83,502.07,353.95,70.5,10.78,941.878438,1443.25827
895,66,3.38888889,2.38461538,79.9369157,634.02,1787.27,2763.04,163.83,316.63,256.11,70.43,10.47,340.253805,402.510485
896,549,3.61111111,2.17647059,85.4893269,557.76,1586.76,2754.3,286.01,363.85,216.12,70.45,7.26,431.520292,675.683448
897,861,3.11111111,3.0,82.7245899,736.0,1841.2,2787.56,223.76,591.42,321.11,70.35,8.51,384.622726,882.276256
898,623,2.83333333,2.44444444,82.7513897,754.77,1958.04,2715.84,166.6,301.19,325.35,70.51,10.41,252.011885,480.258879
899,663,3.27777778,2.52941176,89.3044513,710.98,1654.52,2820.05,231.66,430.94,242.22,70.38,8.33,380.487443,1136.00069
900,1031,3.14285714,3.27777778,84.4875138,771.27,1639.77,2834.65,358.58,260.17,418.07,70.55,10.0,1164.48677,2268.11921
901,385,2.46666667,2.76923077,90.0514419,904.87,1725.6,2788.2,348.0,625.24,475.7,70.5,12.47,324.35427,569.959013
902,1101,3.0,3.2,95.4934934,1171.34,2348.98,2937.84,490.76,546.71,420.6,70.51,11.95,1734.68511,2985.13702
903,404,2.72727273,2.81818182,82.3528548,707.05,2090.1,3069.38,155.75,416.59,294.77,70.31,9.07,835.588777,1840.50152
904,780,2.92857143,3.5,82.3092428,1014.24,2050.01,2776.1,228.6,319.42,411.2,70.4,11.0,526.765217,636.168873
905,696,2.33333333,3.0,77.9678554,987.93,1931.63,2819.98,284.3,296.5,315.98,70.5,8.57,679.967022,1115.84116
906,710,2.4,2.88235294,82.7134846,857.88,2109.18,2963.49,322.27,705.72,444.97,70.39,8.44,918.427614,1975.62278
907,1032,2.06666667,3.58823529,88.6741563,1074.21,2178.2,3006.92,483.74,687.48,574.14,70.37,9.13,2454.61601,3145.53676
908,334,3.13333333,2.6,85.3117205,594.05,2167.24,3021.26,140.18,252.14,391.41,70.47,12.22,240.036162,380.714117
909,886,3.5,2.70588235,87.6444498,402.24,1930.34,3007.87,179.35,306.83,312.24,70.35,9.41,263.551959,431.337343
910,303,2.61111111,3.5,94.2949255,789.16,1894.39,3060.37,209.56,701.9,418.16,70.36,10.51,531.203138,1139.76643
911,281,3.11111111,2.375,116.894426,623.99,1488.87,2648.89,237.46,509.79,471.0,70.48,9.95,281.923402,473.869783
912,465,3.38888889,1.53333333,78.3095155,421.85,1218.11,2701.41,250.14,727.98,147.53,70.59,10.2,236.410092,188.721198
913,901,3.16666667,2.64705882,89.1339792,557.68,1855.74,2832.51,220.11,503.25,295.14,70.41,9.33,222.766603,524.027226
914,510,2.94117647,3.0,78.9348256,580.14,1701.08,2636.91,176.48,277.5,210.67,70.39,8.88,401.633635,506.526856
915,913,2.90909091,2.46153846,85.3713504,900.67,1771.67,2854.23,336.04,466.98,480.0,70.3,10.98,669.604097,1557.91017
916,143,2.35714286,2.4375,87.4658346,542.7,1795.42,2729.27,136.9,225.76,299.6,70.41,8.68,361.133025,432.571351
917,319,3.05882353,2.4375,80.8899106,585.24,1451.03,2668.9,171.97,160.18,194.44,70.5,11.18,456.637854,404.971848
918,28,2.57142857,2.90909091,82.7388366,754.77,1595.97,2739.63,350.88,240.49,314.18,70.57,11.28,464.320278,545.021456
919,217,2.0,3.47058824,79.9904806,1037.26,1934.12,2839.5,349.35,437.72,483.87,70.49,10.89,1049.99455,2030.54607
920,521,2.92307692,1.82352941,80.6868623,723.42,2251.25,3117.03,103.36,593.21,399.52,70.6,12.27,283.952172,795.6132
921,875,2.33333333,2.76470588,84.8595804,619.84,1875.4,2790.49,303.28,575.23,399.09,70.3,7.64,298.524285,814.558688
922,1074,2.76470588,3.23076923,88.4057245,704.81,1988.04,2815.35,267.13,703.17,302.83,70.47,9.71,1042.43654,2306.63948
923,801,2.92857143,3.05555556,84.8024125,743.21,1682.08,2763.13,280.08,399.88,487.44,70.43,11.44,329.490691,381.79988
924,1123,3.16666667,4.0,91.5482106,980.02,2102.11,2769.97,396.82,582.46,382.41,70.44,13.22,2906.11359,3882.69122
925,907,2.5,2.82352941,79.3873414,732.85,1972.1,2776.79,343.62,437.31,295.25,70.36,11.23,382.853905,509.645683
926,122,3.11111111,2.38461538,83.8807539,681.23,1997.11,2934.09,242.21,648.01,256.97,70.42,10.44,410.935614,1245.13761
927,557,2.85714286,3.27777778,80.5594258,898.84,1926.12,2734.15,366.43,672.2,221.53,70.57,9.7,3265.3059,3137.06408
928,477,2.77777778,2.77777778,80.3184951,666.09,1781.9,2757.69,219.76,371.42,211.65,70.35,10.67,378.235361,409.501227
929,365,2.66666667,3.6,81.2701925,926.12,1692.15,2831.66,299.53,705.42,430.91,70.62,13.13,331.24086,377.190171
930,323,2.78571429,3.33333333,86.9789402,1033.65,2067.77,2850.36,416.47,466.25,610.74,70.43,12.84,1015.71893,1890.02641
931,247,2.30769231,2.88235294,85.84251,936.52,2275.38,3011.97,249.11,519.05,430.66,70.52,9.24,2253.66238,3042.42405
932,1112,3.0,2.8,83.186784,944.39,1833.63,2768.27,351.31,592.98,562.06,70.38,11.45,1493.41569,2656.77768
933,370,2.85714286,2.53333333,77.954369,930.46,1995.27,2891.84,351.29,535.04,491.38,70.49,12.99,1256.01519,2109.45108
934,1050,2.78571429,3.58823529,81.1951292,1058.33,2024.21,2907.83,413.03,635.85,669.26,70.49,11.85,1446.86895,2534.60823
935,333,2.73333333,2.58823529,81.6683711,861.55,1941.14,2846.71,370.96,318.17,525.45,70.45,13.73,392.486491,499.480827
936,490,2.58333333,2.14285714,78.5771691,931.04,2257.71,2973.19,513.16,508.35,318.5,70.63,13.31,378.732411,800.038826
937,190,2.85714286,3.44444444,82.3456726,1051.04,1988.3,2815.22,359.48,544.15,725.57,70.34,9.33,568.930549,1804.22513
938,761,3.0,3.0,80.4359259,903.08,1920.58,2886.61,233.08,385.2,275.25,70.45,14.26,409.037218,608.468163
939,132,2.83333333,2.64705882,81.3162472,751.35,2039.11,2671.38,245.65,348.9,541.14,70.4,9.9,476.198697,1152.09704
